latitude,longitude
-39.06,146.45
-39.06,146.45
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.96,146.23
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-38.99,146.25
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.02,146.24
-39.04,146.3
-39.05,146.32
-39.05,146.32
-39.05,146.32
-39.05,146.32
-39.05,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.32
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.08,146.23
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.1,146.33
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.11,146.34
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.14,146.32
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.13,146.38
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.12,146.42
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.11,146.43
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.45
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.47
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.06,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.05,146.48
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.04,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-39.02,146.47
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
-38.41,144.22
