latitude,longitude
-32.108245,115.58253
-29.669965,153.321593
-35.156267,138.468547
-31.778935,115.732556
-38.145612,145.113234
-32.015461,115.517225
-32.433977,152.533981
-35.125264,150.757937
-33.492112,151.424605
-32.926135,134.078223
-38.371782,142.109652
-33.492122,151.424592
-35.1,138.5
-35.125,150.7623
-38.490667,144.913938
-36.737995,149.9833
-36.737995,149.9833
-32.714163,152.151399
-38.475702,145.027668
-30.109044,153.205829
-37.866426,144.88136
-34.340803,150.924601
-35.149077,138.466732
-43.1231,147.9754
-32.6176,152.3336
-32.6176,152.3336
-32.6176,152.3336
-32.6176,152.3336
-32.6176,152.3336
-43.1247,147.9756
-43.1231,147.9754
-43.1231,147.9754
-43.1231,147.9754
-43.1231,147.9754
-43.1231,147.9754
-43.1231,147.9754
-43.1231,147.9754
-32.6176,152.3336
-43.1231,147.9754
-32.6176,152.3336
-43.1231,147.9754
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1231,147.9759
-43.1231,147.9759
-43.1231,147.976
-43.1231,147.9759
-43.1231,147.976
-43.1231,147.9759
-43.1231,147.976
-43.1231,147.9759
-43.1231,147.976
-43.1231,147.9759
-43.1231,147.976
-43.1231,147.9759
-43.1231,147.976
-43.1231,147.9759
-43.1231,147.976
-43.1231,147.9759
-43.1231,147.976
-43.1231,147.976
-43.1236,147.9767
-43.1231,147.9759
-43.1236,147.9767
-43.1231,147.976
-43.1236,147.9767
-43.1247,147.9756
-43.1236,147.9767
-43.1247,147.9756
-43.1236,147.9767
-43.1247,147.9756
-43.1236,147.9767
-43.1247,147.9756
-43.1236,147.9767
-43.1247,147.9756
-43.1236,147.9767
-43.1247,147.9756
-43.1236,147.9767
-43.1247,147.9756
-43.1236,147.9767
-43.1247,147.9756
-43.1247,147.9756
-43.1231,147.9753
-43.1247,147.9756
-43.1231,147.9753
-43.1231,147.9753
-43.1231,147.9753
-43.1231,147.9753
-43.1231,147.9753
-43.1231,147.9753
-43.1231,147.9753
-43.1231,147.9753
-43.1231,147.9753
-43.1247,147.9756
-43.1231,147.9755
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1231,147.9756
-43.1231,147.9756
-43.1231,147.9756
-43.1231,147.9756
-43.1231,147.9756
-43.1231,147.9756
-43.1231,147.9756
-43.1231,147.9756
-43.1231,147.9756
-43.1231,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.123,147.9752
-43.123,147.9752
-43.1236,147.977
-43.123,147.9752
-43.1236,147.977
-43.123,147.9752
-43.1236,147.977
-43.123,147.9752
-43.1236,147.977
-43.123,147.9752
-43.1236,147.977
-43.123,147.9752
-43.1236,147.977
-43.123,147.9752
-43.1236,147.977
-43.123,147.9752
-43.1236,147.977
-43.1236,147.977
-43.123,147.9752
-43.1247,147.9756
-43.1236,147.977
-43.1247,147.9756
-43.1244,147.9751
-43.1247,147.9756
-43.1244,147.9751
-43.1247,147.9756
-43.1244,147.9751
-43.1247,147.9756
-43.1244,147.9751
-43.1247,147.9756
-43.1244,147.9751
-43.1247,147.9756
-43.1244,147.9751
-43.1247,147.9756
-43.1244,147.9751
-43.1247,147.9756
-43.1244,147.9751
-43.1244,147.9751
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-43.1231,147.9755
-43.1247,147.9756
-43.1247,147.9756
-43.1231,147.9755
-43.1231,147.9755
-43.1231,147.9755
-43.1231,147.9755
-43.1231,147.9755
-43.1231,147.9755
-43.1231,147.9755
-43.1231,147.9755
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.5995,152.3241
-32.6306,152.3096
-32.5995,152.3241
-32.5995,152.3241
-32.5995,152.3241
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-43.1247,147.9756
-32.5995,152.3241
-32.5995,152.3241
-32.5995,152.3241
-32.5995,152.3241
-32.5995,152.3241
-32.5995,152.3241
-32.6177,152.3335
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6177,152.3335
-32.6177,152.3335
-32.6177,152.3335
-32.6177,152.3335
-32.6177,152.3335
-32.6177,152.3335
-32.6177,152.3335
-32.6177,152.3335
-32.6177,152.3335
-32.6306,152.3096
-32.6306,152.3096
-32.6174,152.3334
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6306,152.3096
-32.6174,152.3334
-32.6174,152.3334
-32.6306,152.3096
-32.6174,152.3334
-32.6174,152.3334
-32.6174,152.3334
-32.6174,152.3334
-32.6174,152.3334
-32.6174,152.3334
-32.6174,152.3334
-32.6306,152.3096
-42.8407,147.9198
-42.87,147.9579
-42.8404,147.92
-42.8735,147.9459
-41.2539,148.3388
-42.87,147.9579
-42.8407,147.9198
-42.8404,147.92
-42.87,147.9579
-42.1615,148.3059
-42.8735,147.9459
-42.87,147.9579
-42.87,147.9579
-42.6408,148.1532
-42.8404,147.92
-42.8407,147.9198
-42.1615,148.3059
-42.87,147.9579
-42.8735,147.9459
-42.8404,147.92
-42.87,147.9579
-42.6408,148.1532
-42.8735,147.9459
-42.1615,148.3059
-42.87,147.9579
-42.8735,147.9459
-42.8407,147.9198
-41.3433,148.341
-41.2539,148.3388
-42.8407,147.9198
-41.2113,148.2922
-41.2113,148.2922
-42.87,147.9579
-41.2113,148.2922
-41.2534,148.3397
-41.2539,148.3388
-42.8407,147.9198
-42.87,147.9579
-41.2107,148.2902
-41.2113,148.2922
-41.2539,148.3388
-42.8735,147.9459
-42.8407,147.9198
-42.87,147.9579
-42.8404,147.92
-41.2113,148.2922
-42.8407,147.9198
-41.2539,148.3388
-41.2113,148.2922
-42.87,147.9579
-41.2107,148.2903
-41.2113,148.2922
-41.2107,148.2903
-41.211,148.2899
-41.3532,148.3478
-42.8725,147.9504
-41.2107,148.294
-42.6408,148.1532
-41.2107,148.2903
-41.2113,148.2922
-42.87,147.9579
-41.211,148.2899
-41.2107,148.294
-42.6408,148.1532
-42.8725,147.9504
-41.3532,148.3478
-41.2109,148.2908
-41.2113,148.2922
-43.141,147.9669
-42.6408,148.1532
-42.8701,147.958
-42.8725,147.9504
-41.3532,148.3478
-41.2109,148.2908
-42.8701,147.958
-42.6408,148.1532
-42.8725,147.9504
-41.2113,148.2922
-41.211,148.2899
-42.6408,148.1532
-41.2101,148.294
-42.1615,148.3059
-42.8407,147.9198
-42.87,147.9579
-41.2107,148.2903
-42.1615,148.3059
-42.8404,147.92
-41.2548,148.3395
-42.6408,148.1532
-42.87,147.9579
-42.8407,147.9198
-42.1615,148.3059
-42.8725,147.9504
-41.211,148.2899
-41.2107,148.294
-42.87,147.9579
-42.6408,148.1532
-41.2107,148.2903
-41.2113,148.2922
-41.2101,148.294
-42.8725,147.9504
-41.211,148.2899
-41.2101,148.294
-41.2107,148.2903
-42.87,147.9579
-42.6408,148.1532
-42.8407,147.9198
-41.2107,148.2902
-43.1384,147.9681
-43.1384,147.9681
-42.8701,147.958
-42.8407,147.9198
-43.1384,147.9681
-41.2107,148.2902
-42.8407,147.9198
-43.1384,147.9681
-42.87,147.9579
-41.3433,148.341
